Transaction Date,Ledger A/c,Amount,TDS Amount,Mode of Payment,Instrument/UTR,Bank Account,Invoice Reference,Narration 
05-07-2016,Reliance Fire Protection Systems,65019,,Cheque,14257,Uco Bank,728,Purchase 1 Kg Fire Extingusher nos 60 for Scoiety Member-Bank Book/Jul/1
03-07-2016,Salaries,8000,,Cheque,14256,Uco Bank,N/A,Paid Manager Salary-Bank Book/Jul/02
07-07-2016,Secure One Facility,15410,309,Cheque,14258,Uco Bank,044/HK,Paid House Keeping Salary for June 2016-Bank Book/Jul/3
07-07-2016,Secure One Facility,39712,795,Cheque,14259,Uco Bank,039/SOS,Paid Security Guard Salary  for June -Bank Book /Jul/4
05-07-2016,Chirag Home Appliances,3120,,Cheque,1,Uco Bank,N/A,Purchase 5 Chair & 1 Kg PP Bags-Bank Book /Jul/5
05-07-2016,Chirag Home Appliances,2990,,Cheque,1,Uco Bank,N/A,Purchase House Keeping Maintanance-Bank Book /Jul/6
05-07-2016,Tax deducted at source (TDS payable),1104,,Cheque,14260,Uco Bank,N/A,Paid IT Department Security and House Keeping -Bank Book/Jul/07
06-07-2016,Cidco Ltd,24367,,Cheque,2,Uco Bank,N/A,Paid Water Bill for May-June 2016 -Bank Book/Jul/8
09-07-2016,Cash-in-Hand,5000,,Cheque,3,Uco Bank,N/A,Society Expenses for july 2016 -Bank Book/Jul/9
10-07-2016,B.B.S Auto Eletrtrical,6000,,Cheque,14255,Uco Bank,N/A,Purchase Battery for DG Set-Bank Book/Jul/10
12-07-2016,Prerana Enterprises,3434,,Cheque,4,Uco Bank,N/A,Purchase Electric Maintanance -Bank Book/Jul/11
17-07-2016,Beutiful,5800,,Cheque,5,Uco Bank,837,Purchase 3 Seater M.S. Steel Banch from Butiful-Bank Book/Jul/12
29-07-2016,Bablu Jaiswal ,21000,,Cheque,9,Uco Bank,N/A,"Terrace Door/Grill Work ,Parking Nos Painting - Bank Book/Jul/13"
01-08-2016,MSEDCL,16460,,Cheque,10,Uco Bank,29470820681,Paid Elelcticity Bill 029470820681 Jun-Jul 2016  -Bank Book/Aug/01
01-08-2016,MSEDCL,7930,,Cheque,11,Uco Bank,29470820673,Paid Elelcticity Bill 029470820673 Jun-Jul 2016  -Bank Book/Aug/02
01-08-2016,Pawan Eelctical Works,17800,,Cheque,13,Uco Bank,N/A,Purchse 400 AMP Main Switch & Fitting Labor Charges  -Bank Book/Aug/03
01-08-2016,Pioneer Enterprises,1688,,Cheque,8,Uco Bank,N/A,1 Nos Power Supplier Charger - Bank Book/Aug/04
08-08-2016,Salaries,8000,,Cheque,14,Uco Bank,N/A,Paid Manager Salary-Bank Book/Aug/05
07-08-2016,Secure One Facility,38692,774,Cheque,16,Uco Bank,N/A,PaidSecurity Guard Salary for Jul 2016 - Bank Book/Aug/06
07-08-2016,Secure One Facility,15410,309,Cheque,15,Uco Bank,N/A,Paid House Keeping Salary for Jul 2016-Bank Book/Aug/7
03-08-2016,Tax deducted at source (TDS payable),1083,,Cheque,17,Uco Bank,N/A,Paid TDS  IT Department  Security And Housekeeping-Bank Book/Aug/08
07-08-2016,Housing Matters Society Pvt Ltd,9288,,Cheque,18,Uco Bank,N/A,Housing Matters Solution & Service Pvt Ltd for Accounting  Service Charges -Bank Book/Aug/09
10-08-2016,Transcreek Engineer Pvt Ltd,28751,,Cheque,7,Uco Bank,N/A,Transcreek Engineer Pvt Ltd DG Amc Renewed 01-07-2016 to 30-06-2017 -Bank Book/Aug/10
02-08-2016,Cidco Ltd,30770,,Cheque,6,Uco Bank,U21/PLT/0743071,Paid Service Charges to Cidco Ltd -Bank Book/Aug/11
