Wing,Flat Number
A,201
A,202
A,203
A,204
A,205
A,206
A,301
A,302
A,303
A,304
A,305
A,306
A,401
A,402
A,403
A,404
A,405
A,406
A,501
A,502
A,503
A,504
A,505
A,506
A,601
A,602
A,603
A,604
A,605
A,606
A,701
A,702
A,703
A,704
A,705
A,706
A,801
A,802
A,803
A,804
A,805
A,806
A,901
A,902
A,903
A,904
A,905
A,906
A,1001
A,1002
A,1003
A,1004
A,1005
A,1006
A,1101
A,1102
A,1103
A,1104
A,1105
A,1106
A,1201
A,1202
A,1203
A,1204
A,1205
A,1206
A,1301
A,1302
A,1303
A,1304
A,1305
A,1306
B,201
B,202
B,203
B,204
B,205
B,206
B,301
B,302
B,303
B,304
B,305
B,306
B,401
B,402
B,403
B,404
B,405
B,406
B,501
B,502
B,503
B,504
B,505
B,506
B,601
B,602
B,603
B,604
B,605
B,606
B,701
B,702
B,703
B,704
B,705
B,706
B,801
B,802
B,803
B,804
B,805
B,806
B,901
B,902
B,903
B,904
B,905
B,906
B,1001
B,1002
B,1003
B,1004
B,1005
B,1006
B,1101
B,1102
B,1103
B,1104
B,1105
B,1106
B,1201
B,1202
B,1203
B,1204
B,1205
B,1206
B,1301
B,1302
B,1303
B,1304
B,1305
B,1306
Office,1
Office,2
Office,3
Office,4
Shop,1
Shop,2
Shop,3
Shop,4
Shop,5
Shop,6
Shop,7
Shop,8
Shop,9
Shop,10
Shop,11
Shop,12
Shop,13
Shop,14
Shop,15
Shop,16
