Wing,Flat Number
<<<<<<< HEAD
<<<<<<< HEAD
Shop,1
=======
B,603
C,101
C,102
C,201
C,202
C,203
C,204
C,301
C,302
C,303
C,304
C,401
C,402
C,403
C,404
C,501
C,502
C,503
C,504
C,601
C,602
C,603
C,604
C,701
C,702
C,703
C,704
C,801
C,802
C,803
C,804
C,901
C,902
C,903
C,904
C,1001
C,1002
C,1003
C,1004
C,1101
C,1102
C,1103
C,1104
C,1201
C,1202
C,1203
C,1204
C,1301
C,1302
C,1303
C,1304
C,1401
C,1402
C,1403
C,1404
C,1501
C,1502
C,1503
C,1504
C,1601
C,1602
C,1604
C,1701
C,1702
C,1704
C,1801
C,1802
C,1803
C,1804
C,1901
C,1902
C,1903
C,1904
D,101
D,102
D,103
D,104
D,201
D,202
D,203
D,204
D,301
D,302
D,303
D,304
D,401
D,402
D,403
D,404
D,501
D,502
D,503
D,504
D,601
D,602
E,101
E,102
E,103
E,104
E,201
E,202
E,203
E,204
E,302
E,303
E,304
E,401
E,402
E,403
E,404
E,501
E,502
E,503
E,504
E,602
E,603
Shop,9
A,103
D,603
E,301
Shop,1
C,1703
E,601
>>>>>>> 0271547f1b2d82684cf2894f2b8d9acc135de1e7
Shop,2
Shop,3
Shop,4
Shop,5
Shop,6
Shop,7
Shop,8
<<<<<<< HEAD
Shop,9
=======
>>>>>>> 0271547f1b2d82684cf2894f2b8d9acc135de1e7
Shop,10
Shop,11
Shop,12
Shop,13
Shop,14
Shop,15
Shop,16
Shop,17
<<<<<<< HEAD
Flat,201
Flat,202
Flat,203
Flat,301
Flat,302
Flat,303
Flat,401
Flat,402
Flat,403
Flat,501
Flat,502
Flat,503
Flat,601
Flat,602
Flat,603
Flat,701
Flat,702
Flat,703
Flat,801
Flat,802
Flat,803
Flat,901
Flat,902
Flat,903
Flat,1001
Flat,1002
Flat,1003
Flat,1101
Flat,1102
Flat,1103
Flat,1201
Flat,1202
Flat,1203
Flat,1301
Flat,1302
Flat,1303
Flat,1401
Flat,1402
Flat,1403
Flat,1501
Flat,1502
Flat,1503
Flat,1601
Flat,1602
Flat,1603
Flat,1701
Flat,1702
Flat,1703
=======
Shop,18
Office,1
Office,2
Office,3
Office,4
Office,5
Office,6
Office,7
Office,8
Office,9
Office,10
Office,11
Office,12
Office,13
Office,14
Office,15
Office,16
Office,17
Office,18
A,101
A,102
A,104
A,201
A,202
A,203
A,204
A,301
A,302
A,303
A,304
A,401
A,402
A,403
A,404
A,501
A,502
A,503
A,504
A,601
A,602
A,603
A,604
B,101
B,102
B,103
B,104
B,201
B,202
B,203
B,204
B,301
B,302
B,303
B,304
B,401
B,402
B,403
B,404
B,501
B,502
B,503
B,504
B,601
B,602
C,1603
>>>>>>> 0271547f1b2d82684cf2894f2b8d9acc135de1e7
=======
Wing B,601
Wing B,602
Wing B,603
Wing B,604
Wing B,605
Wing B,606
Wing B,607
Wing B,608
Wing B,609
Wing B,610
Wing B,611
Wing B,612
Wing B,613
Wing B,614
Wing B,615
Wing B,616
Wing B,617
Wing B,618
Wing B,619
Wing B,620
Wing B,621
Wing B,622
Wing B,623
Wing B,624
Wing B,625
Wing B,626
Wing B,627
Wing B,628
Wing B,629
Wing B,630
Wing B,631
Wing B,632
Wing B,633
Wing B,634
Wing B,635
Wing B,636
Wing B,637
Wing B,638
Wing B,639
Wing B,640
Wing B,641
Wing B,642
Wing B,643
Wing B,644
Wing B,645
Wing B,646
Wing B,647
Wing B,648
Wing B,649
Wing B,650
Wing B,651
Wing B,652
Wing B,653
Wing B,654
Wing B,655
Wing B,656
Wing B,657
Wing B,658
Wing B,659
Wing B,660
Wing B,661
Wing B,662
Wing B,663
Wing B,664
Wing B,665
Wing B,666
Wing B,667
Wing B,668
Wing B,669
Wing B,670
Wing B,671
Wing B,672
Wing B,673
Wing B,674
Wing B,675
Wing B,676
Wing B,677
Wing B,678
Wing B,679
Wing B,680
Wing B,681
Wing B,682
Wing B,683
Wing B,684
Wing B,685
Wing B,686
Wing B,687
Wing B,688
Wing B,689
Wing B,690
Wing B,691
Wing B,692
Wing B,693
Wing B,694
Wing B,695
Wing B,696
Wing B,697
Wing B,698
Wing B,699
Wing B,700
>>>>>>> 2648f11dbe638889773780304806939a620cb49f
