Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Reserve & Surplus,Entrance Fees (Reserves),,,,,
Current Assets,Accrued Interest,,,,,
Fixed Assets,Vehicles,,,,,
Reserve & Surplus,Membership premium (Reserves),,,,,
Reserve & Surplus,Transfer Charges (Reserves),,,,,
Fixed Assets,Income & Expenditure A/c,,,,,
Reserve & Surplus,Major Repairs Fund (Reserves),,,,,
Fixed Assets,Power Back up & Generator,,,,,
Administrative Expenses,Staff welfare expenses,,,,,
Administrative Expenses,Miscellaneous expenses,,,,,
Administrative Expenses,Telecom & Internet expenses,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Capital Account,Application Money,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Furniture & Fixtures,,,,,
Fixed Assets,Gym Equipments,,,,,
Reserve & Surplus,Reserve Fund Seed Money ,,,,,
Fixed Assets,Land,,,,,
Administrative Expenses,Postage & Courier charges,,,,,
Administrative Expenses,Meeting & Welfare expenses,,,,,
Current Assets,Advance given to Vendors,,,,,
Contribution from Members,Non Occupancy Charges,,,,,
Administrative Expenses,Audit fees,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Office Equipments,,,,,
Other Income,Miscellaneous income,,,,,
Contribution from Members,Maintenance charges,,,,,
Contribution from Members,Cultural Fund contribution,,,,,
Administrative Expenses,Sundry Balances Written Off,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Administrative Expenses,Legal & Professional Charges,,,,,
Administrative Expenses,Depreciation,,,,,
Administrative Expenses,Cultural / Festival expenses,,,,,
Administrative Expenses,Traveling & conveyance expenses,,,,,
Administrative Expenses,Computer & sofware expenses,,,,,
Administrative Expenses,Bank charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Building R&M,,,,,
Taxes & Utilities,Property Tax,,,,,
Current Assets,Cash-in-hand,,,,,
Current Assets,Stock / Inventories,,,,,
Investments,Mutual Funds,,,,,
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Current Liabilities,Advance from Members,,,,,
Taxes & Utilities,Water charges,,,,,
Administrative Expenses,Printing & Stationery charges,,,,,
Repairs & Maintenance,Gymnasium R&M,,,,,
Administrative Expenses,Interest expenses,,,,,
Administrative Expenses,Insurance charges,,,,,
Administrative Expenses,Cable TV expenses,,,,,
Repairs & Maintenance,Security charges,,,,,
Repairs & Maintenance,Plumbing - R&M,,,,,
Repairs & Maintenance,Electrical R&M,,,,,
Current Assets,Sundry Debtors,,,,,
Investments,Fixed Deposits,,,,,
Current Liabilities,Retention A/c ,,,,,
Current Liabilities,Provisions,,,,,
Administrative Expenses,Salaries,,,,,
Other Income,Mobile tower rent,,,,,
Capital Account,Share Capital,,,,,
Other Income,Advertising Income,,,,,
Current Liabilities,Advances & Security Deposits taken,,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Other Income,Interest from  Fixed deposits,,,,,
Contribution from Members,Interest from members,,,,,
Other Income,Income from Advertising & events,,,,,
Contribution from Members,Sinking Fund,,,,,
Contribution from Members,Repair Fund,,,,,
Contribution from Members,Welfare Fund,,,,,
Contribution from Members,Lease Rent,,,,,
Contribution from Members,Parking Charges,,,,,
Contribution from Members,Water Charges,,,,,
Contribution from Members,Municipal Taxes,,,,,
Contribution from Members,Electricity Charges,,,,,
Contribution from Members,Insurance Charges,,,,,
Administrative Expenses,Reversals & Adjustments,,,,,
Fixed Assets,Building,,,,,
Fixed Assets,Computers,,,,,
Fixed Assets,Surveillance & Security Systems,,,,,
Repairs & Maintenance,Club / Recreation Center expenses,,,,,
Repairs & Maintenance,Garden / Lawn expenses,,,,,
Repairs & Maintenance,General Repairs & Maintenance,,,,,
Repairs & Maintenance,Fire & Safety expenses,,,,,
Administrative Expenses,Subscription charges,,,,,
Investments,Deposits with Electricity Cos,,,,,
Investments,Deposits with Water Supply Cos,,,,,
Other Income,Interest from saving bank accounts,,,,,
Reserve & Surplus,Sinking Fund (Reserves),,,debit,6000,
Investments,Shares of Federation,,,,,
Current Assets,Sundry Debtors Control A/c,,,,,
Members Control Accounts,Rohit Joshi,A,101A,credit,5000,1000
