Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
Wing AA,1001,1 BHK,1000
Wing AA,1002,1 BHK,1000
Wing AA,1003,1 BHK,1000
Wing AA,1004,1 BHK,1000
Wing AA,1005,1 BHK,1000
Wing AA,1006,1 BHK,1000
Wing AA,1007,1 BHK,1000
Wing AA,1008,1 BHK,1000
Wing AA,1009,1 BHK,1000
Wing AA,1010,1 BHK,1000
Wing AA,1011,1 BHK,1000
Wing AA,1012,1 BHK,1000
Wing AA,1013,1 BHK,1000
Wing AA,1014,1 BHK,1000
Wing AA,1015,1 BHK,1000
Wing AA,1016,1 BHK,1000
Wing AA,1017,1 BHK,1000
Wing AA,1018,1 BHK,1000
Wing AA,1019,1 BHK,1000
Wing AA,1020,1 BHK,1000
Wing AA,1021,1 BHK,1000
Wing AA,1022,1 BHK,1000
Wing AA,1023,1 BHK,1000
Wing AA,1024,1 BHK,1000
Wing AA,1025,1 BHK,1000
Wing AA,1026,1 BHK,1000
Wing AA,1027,1 BHK,1000
Wing AA,1028,1 BHK,1000
Wing AA,1029,1 BHK,1000
Wing AA,1030,1 BHK,1000
Wing AA,1031,1 BHK,1000
Wing AA,1032,1 BHK,1000
Wing AA,1033,1 BHK,1000
Wing AA,1034,1 BHK,1000
Wing AA,1035,1 BHK,1000
Wing AA,1036,1 BHK,1000
Wing AA,1037,1 BHK,1000
Wing AA,1038,1 BHK,1000
Wing AA,1039,1 BHK,1000
Wing AA,1040,1 BHK,1000
Wing AA,1041,1 BHK,1000
Wing AA,1042,1 BHK,1000
Wing AA,1043,1 BHK,1000
Wing AA,1044,1 BHK,1000
Wing AA,1045,1 BHK,1000
Wing AA,1046,1 BHK,1000
Wing AA,1047,1 BHK,1000
Wing AA,1048,1 BHK,1000
Wing AA,1049,1 BHK,1000
Wing AA,1050,1 BHK,1000
Wing AA,1051,1 BHK,1000
Wing AA,1052,1 BHK,1000
Wing AA,1053,1 BHK,1000
Wing AA,1054,1 BHK,1000
Wing AA,1055,1 BHK,1000
Wing AA,1056,1 BHK,1000
Wing AA,1057,1 BHK,1000
Wing AA,1058,1 BHK,1000
Wing AA,1059,1 BHK,1000
Wing AA,1060,1 BHK,1000
Wing AA,1061,1 BHK,1000
Wing AA,1062,1 BHK,1000
Wing AA,1063,1 BHK,1000
Wing AA,1064,1 BHK,1000
Wing AA,1065,1 BHK,1000
Wing AA,1066,1 BHK,1000
Wing AA,1067,1 BHK,1000
Wing AA,1068,1 BHK,1000
Wing AA,1069,1 BHK,1000
Wing AA,1070,1 BHK,1000
Wing AA,1071,1 BHK,1000
Wing AA,1072,1 BHK,1000
Wing AA,1073,1 BHK,1000
Wing AA,1074,1 BHK,1000
Wing AA,1075,1 BHK,1000
Wing AA,1076,1 BHK,1000
Wing AA,1077,1 BHK,1000
Wing AA,1078,1 BHK,1000
Wing AA,1079,1 BHK,1000
Wing AA,1080,1 BHK,1000
Wing AA,1081,1 BHK,1000
Wing AA,1082,1 BHK,1000
Wing AA,1083,1 BHK,1000
Wing AA,1084,1 BHK,1000
Wing AA,1085,1 BHK,1000
Wing AA,1086,1 BHK,1000
Wing AA,1087,1 BHK,1000
Wing AA,1088,1 BHK,1000
Wing AA,1089,1 BHK,1000
Wing AA,1090,1 BHK,1000
Wing AA,1091,1 BHK,1000
Wing AA,1092,1 BHK,1000
Wing AA,1093,1 BHK,1000
Wing AA,1094,1 BHK,1000
Wing AA,1095,1 BHK,1000
Wing AA,1096,1 BHK,1000
Wing AA,1097,1 BHK,1000
Wing AA,1098,1 BHK,1000
Wing AA,1099,1 BHK,1000
Wing AA,1100,1 BHK,1000
Wing BB,1101,2 BHK,2000
Wing BB,1102,2 BHK,2000
Wing BB,1103,2 BHK,2000
Wing BB,1104,2 BHK,2000
Wing BB,1105,2 BHK,2000
Wing BB,1106,2 BHK,2000
Wing BB,1107,2 BHK,2000
Wing BB,1108,2 BHK,2000
Wing BB,1109,2 BHK,2000
Wing BB,1110,2 BHK,2000
Wing BB,1111,2 BHK,2000
Wing BB,1112,2 BHK,2000
Wing BB,1113,2 BHK,2000
Wing BB,1114,2 BHK,2000
Wing BB,1115,2 BHK,2000
Wing BB,1116,2 BHK,2000
Wing BB,1117,2 BHK,2000
Wing BB,1118,2 BHK,2000
Wing BB,1119,2 BHK,2000
Wing BB,1120,2 BHK,2000
Wing BB,1121,2 BHK,2000
Wing BB,1122,2 BHK,2000
Wing BB,1123,2 BHK,2000
Wing BB,1124,2 BHK,2000
Wing BB,1125,2 BHK,2000
Wing BB,1126,2 BHK,2000
Wing BB,1127,2 BHK,2000
Wing BB,1128,2 BHK,2000
Wing BB,1129,2 BHK,2000
Wing BB,1130,2 BHK,2000
Wing BB,1131,2 BHK,2000
Wing BB,1132,2 BHK,2000
Wing BB,1133,2 BHK,2000
Wing BB,1134,2 BHK,2000
Wing BB,1135,2 BHK,2000
Wing BB,1136,2 BHK,2000
Wing BB,1137,2 BHK,2000
Wing BB,1138,2 BHK,2000
Wing BB,1139,2 BHK,2000
Wing BB,1140,2 BHK,2000
Wing BB,1141,2 BHK,2000
Wing BB,1142,2 BHK,2000
Wing BB,1143,2 BHK,2000
Wing BB,1144,2 BHK,2000
Wing BB,1145,2 BHK,2000
Wing BB,1146,2 BHK,2000
Wing BB,1147,2 BHK,2000
Wing BB,1148,2 BHK,2000
Wing BB,1149,2 BHK,2000
Wing BB,1150,2 BHK,2000
Wing BB,1151,2 BHK,2000
Wing BB,1152,2 BHK,2000
Wing BB,1153,2 BHK,2000
Wing BB,1154,2 BHK,2000
Wing BB,1155,2 BHK,2000
Wing BB,1156,2 BHK,2000
Wing BB,1157,2 BHK,2000
Wing BB,1158,2 BHK,2000
Wing BB,1159,2 BHK,2000
Wing BB,1160,2 BHK,2000
Wing BB,1161,2 BHK,2000
Wing BB,1162,2 BHK,2000
Wing BB,1163,2 BHK,2000
Wing BB,1164,2 BHK,2000
Wing BB,1165,2 BHK,2000
Wing BB,1166,2 BHK,2000
Wing BB,1167,2 BHK,2000
Wing BB,1168,2 BHK,2000
Wing BB,1169,2 BHK,2000
Wing BB,1170,2 BHK,2000
Wing BB,1171,2 BHK,2000
Wing BB,1172,2 BHK,2000
Wing BB,1173,2 BHK,2000
Wing BB,1174,2 BHK,2000
Wing BB,1175,2 BHK,2000
Wing BB,1176,2 BHK,2000
Wing BB,1177,2 BHK,2000
Wing BB,1178,2 BHK,2000
Wing BB,1179,2 BHK,2000
Wing BB,1180,2 BHK,2000
Wing BB,1181,2 BHK,2000
Wing BB,1182,2 BHK,2000
Wing BB,1183,2 BHK,2000
Wing BB,1184,2 BHK,2000
Wing BB,1185,2 BHK,2000
Wing BB,1186,2 BHK,2000
Wing BB,1187,2 BHK,2000
Wing BB,1188,2 BHK,2000
Wing BB,1189,2 BHK,2000
Wing BB,1190,2 BHK,2000
Wing BB,1191,2 BHK,2000
Wing BB,1192,2 BHK,2000
Wing BB,1193,2 BHK,2000
Wing BB,1194,2 BHK,2000
Wing BB,1195,2 BHK,2000
Wing BB,1196,2 BHK,2000
Wing BB,1197,2 BHK,2000
Wing BB,1198,2 BHK,2000
Wing BB,1199,2 BHK,2000
Wing BB,1200,2 BHK,2000
