Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) ,,,
A,101,2BHK T,1880,,,
A,102,2BHK T,1235,,,
A,103,2BHK T,1175,,,
A,104,2BHK T,1810,,,
A,201,3BHK,1490,,,
A,202,2BHK ,1170,,,
A,203,2BHK ,1115,,,
A,204,2BHK T,1500,,,
A,301,3BHK,1495,,,
A,302,2BHK ,1165,,,
A,303,2BHK,1110,,,
A,304,3BHK,1490,,,
A,401,2BHK T,1330,,,
A,402,2BHK,1170,,,
A,403,2BHK,1115,,,
A,404,2BHK T,1330,,,
A,501,2BHK,1170,,,
A,502,2BHK,1165,,,
A,503,2BHK,1110,,,
A,504,2BHK,1170,,,
A,601,2BHK,1170,,,
A,602,2BHK,1170,,,
A,603,2BHK,1115,,,
A,604,2BHK,1170,,,
A,701,3BHK,1490,,,
A,702,2BHK,1165,,,
A,703,2BHK,1110,,,
A,704,3BHK,1490,,,
A,801,3BHK,1495,,,
A,802,2BHK,1170,,,
A,803,2BHK,1115,,,
A,804,3BHK,1495,,,
A,901,3BHK,1490,,,
A,902,2BHK,1165,,,
A,903,2BHK,1110,,,
A,904,3BHK,1495,,,
A,1001,3BHK,1495,,,
A,1002,2BHK,1170,,,
A,1003,2BHK,1115,,,
A,1004,3BHK,1495,,,
A,1101,3BHK,1495,,,
A,1102,2BHK,1165,,,
A,1103,2BHK,1110,,,
A,1104,3BHK,1495,,,
A,1201,2BHK T,1305,,,
A,1202,2BHK T,1170,,,
A,1203,2BHK,1080,,,
A,1204,2BHK T,1340,,,
B,101,3BHK T,1700,,,
B,102,2BHK,1185,,,
B,103,2BHK,1175,,,
B,104,2BHK T,1260,,,
B,201,3BHK,1525,,,
B,202,2BHK,1185,,,
B,203,2BHK,1115,,,
B,204,2BHK,1195,,,
B,301,4BHK,1895,,,
B,302,2BHK,1185,,,
B,303,2BHK,1120,,,
B,304,3BHK,1495,,,
B,401,4BHK,1825,,,
B,402,2BHK,1185,,,
B,403,2BHK,1115,,,
B,404,3BHK,1485,,,
B,501,4BHK,1830,,,
B,502,2BHK,1185,,,
B,503,2BHK,1120,,,
B,504,3BHK,1495,,,
B,601,4BHK,1825,,,
B,602,2BHK,1185,,,
B,603,2BHK,1115,,,
B,604,3BHK,1485,,,
B,701,4BHK,1830,,,
B,702,2BHK,1185,,,
B,703,2BHK,1120,,,
B,704,3BHK,1495,,,
B,801,4BHK,1825,,,
B,802,2BHK,1185,,,
B,803,2BHK,1115,,,
B,804,3BHK,1485,,,
B,901,4BHK,1830,,,
B,902,2BHK,1185,,,
B,903,2BHK,1120,,,
B,904,2BHK T,1360,,,
B,1001,4BHK,1825,,,
B,1002,2BHK,1185,,,
B,1003,2BHK,1115,,,
B,1004,2BHK,1195,,,
B,1101,4BHK,1830,,,
B,1102,2BHK,1185,,,
B,1103,2BHK,1120,,,
B,1104,2BHK,1205,,,
B,1201,3BHK T,1938,,,
B,1202,2BHK T,1645,,,
Shop,1,Shop,455,,,
Shop,2,Shop,350,,,
Shop,3,Shop,320,,,
Shop,4,Shop,260,,,
Shop,5,Shop,280,,,
Shop,6,Shop,280,,,
Shop,7,Shop,260,,,
Shop,8,Shop,320,,,
Shop,9,Shop,375,,,
Shop,10,Shop,455,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
